City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cidreira,-30.1811,-50.2056,67.06,96,100,9.06,BR,overcast clouds
1,tinajo,29.0788,-13.7081,70.68,78,20,5.75,ES,few clouds
2,kolonia town,6.964,158.206,86.0,74,75,5.75,FM,light rain
3,hamilton,39.1834,-84.5333,46.06,81,75,9.22,US,broken clouds
4,edinburgh of the seven seas,-37.0676,-12.3116,55.06,90,92,29.97,SH,light rain
5,jamestown,42.097,-79.2353,42.03,89,100,18.41,US,overcast clouds
6,yellowknife,62.456,-114.3525,32.41,93,75,9.22,CA,broken clouds
7,grytviken,-54.2811,-36.5092,38.23,81,14,9.37,GS,few clouds
8,leer,53.2316,7.461,53.94,94,100,4.38,DE,overcast clouds
9,rexburg,43.826,-111.7897,39.99,35,0,0.0,US,clear sky
10,ust'-kulom,61.6864,53.6902,14.59,99,95,1.61,RU,overcast clouds
11,ushuaia,-54.8,-68.3,38.86,60,75,20.71,AR,broken clouds
12,maymana,35.9214,64.7836,63.88,32,33,2.39,AF,scattered clouds
13,college,64.8569,-147.8028,35.46,82,100,0.0,US,overcast clouds
14,sao gabriel da cachoeira,-0.1303,-67.0892,83.91,69,97,2.08,BR,overcast clouds
15,angatuba,-23.4897,-48.4128,71.15,91,93,1.23,BR,overcast clouds
16,waitangi,-43.9535,-176.5597,57.81,83,100,13.0,NZ,overcast clouds
17,adamstown,-25.066,-130.1015,73.38,73,100,8.77,PN,overcast clouds
18,masterton,-40.9597,175.6575,66.88,98,100,4.92,NZ,light rain
19,ciudad bolivar,8.1222,-63.5497,91.54,46,99,2.15,VE,light rain
20,tianshui,34.5439,105.6897,49.44,87,99,2.26,CN,overcast clouds
21,hermanus,-34.4187,19.2345,58.23,75,1,20.15,ZA,clear sky
22,kupang,-10.1667,123.5833,81.18,74,20,11.5,ID,few clouds
23,cabedelo,-6.9811,-34.8339,79.47,72,26,9.69,BR,scattered clouds
24,buka,40.8108,69.1986,63.36,41,98,2.26,UZ,overcast clouds
25,margaret river,-33.95,115.0667,48.52,90,47,8.84,AU,scattered clouds
26,kirakira,-10.4544,161.9205,83.84,77,96,7.67,SB,overcast clouds
27,port mathurin,-19.6833,63.4167,76.46,81,4,17.09,MU,clear sky
28,chios,38.3678,26.1358,60.66,94,0,2.3,GR,clear sky
29,urumqi,43.801,87.6005,56.35,44,0,17.9,CN,clear sky
30,vorgashor,67.5833,63.95,10.9,87,100,8.25,RU,overcast clouds
31,aasiaat,68.7098,-52.8699,28.69,76,7,22.57,GL,clear sky
32,akkol',48.7833,53.2,38.82,80,60,7.7,KZ,broken clouds
33,port-aux-francais,-49.35,70.2167,37.04,92,99,39.71,TF,overcast clouds
34,vilyuchinsk,52.9306,158.4028,34.07,75,48,7.87,RU,scattered clouds
35,bethel,41.3712,-73.414,55.27,86,100,10.36,US,light rain
36,tolanaro,-25.0319,46.9987,73.92,88,100,2.39,MG,overcast clouds
37,brooks,50.5834,-111.8851,28.04,76,83,5.88,CA,broken clouds
38,west island,-12.1568,96.8225,78.78,83,40,14.97,CC,light rain
39,iqaluit,63.7506,-68.5145,9.7,72,100,24.0,CA,overcast clouds
40,ust-tsilma,65.441,52.1498,21.61,79,93,8.99,RU,overcast clouds
41,palmares do sul,-30.2578,-50.5097,67.53,94,100,11.56,BR,overcast clouds
42,navalmoral de la mata,39.8916,-5.5406,55.96,90,52,4.25,ES,broken clouds
43,zyrya,40.3661,50.2917,53.69,71,42,5.95,AZ,scattered clouds
44,ust-nera,64.5667,143.2,-0.29,100,94,4.34,RU,overcast clouds
45,chonchi,-42.6128,-73.8092,48.11,80,61,3.11,CL,light rain
46,lompoc,34.6391,-120.4579,81.79,28,0,13.8,US,clear sky
47,konosha,60.9736,40.257,21.56,94,96,2.59,RU,overcast clouds
48,blackmans bay,-43.0167,147.3167,50.74,65,24,5.99,AU,few clouds
49,suva,-18.1416,178.4415,81.88,83,75,8.05,FJ,broken clouds
50,kayangel,8.0823,134.7173,83.34,74,28,7.25,PW,scattered clouds
51,krasnoobsk,54.9198,82.9909,24.71,91,100,10.18,RU,overcast clouds
52,wailua homesteads,22.0669,-159.378,83.19,71,40,10.36,US,light rain
53,sao paulo de olivenca,-3.3783,-68.8725,89.78,53,39,2.08,BR,scattered clouds
54,shenkursk,62.1091,42.896,24.08,75,99,3.02,RU,overcast clouds
55,port elizabeth,-33.918,25.5701,58.32,85,0,5.99,ZA,clear sky
56,stanley,54.868,-1.6985,44.76,96,75,4.61,GB,broken clouds
57,puerto ayora,-0.7393,-90.3518,80.56,91,100,5.01,EC,overcast clouds
58,ribeira grande,38.5167,-28.7,67.77,77,40,14.97,PT,scattered clouds
59,punta arenas,-53.15,-70.9167,44.11,56,83,11.05,CL,broken clouds
60,whitby,54.4877,-0.615,46.99,88,100,1.01,GB,overcast clouds
61,ciudad lazaro cardenas,17.9583,-102.2,83.3,76,9,7.02,MX,clear sky
62,dombarovskiy,50.7587,59.5386,33.01,82,74,18.99,RU,broken clouds
63,yermakovskoye,53.2831,92.4003,31.62,97,100,2.98,RU,snow
64,carnarvon,-24.8667,113.6333,69.3,74,0,20.65,AU,clear sky
65,olonkinbyen,70.9221,-8.7187,34.61,72,100,11.7,SJ,overcast clouds
66,altamont,42.2068,-121.7372,58.84,27,0,1.99,US,clear sky
67,kasson,44.03,-92.7507,37.92,57,40,11.5,US,scattered clouds
68,yeppoon,-23.1333,150.7333,71.38,57,1,6.6,AU,clear sky
69,ilulissat,69.2167,-51.1,35.62,55,5,20.71,GL,clear sky
70,wotho,10.1657,166.0102,81.07,85,100,19.01,MH,light rain
71,gadzhiyevo,69.2551,33.3362,28.08,88,100,18.07,RU,light snow
